Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,决胜时刻,291.39,7398.36,7,30.09,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdfyAJOANAANLBNk3a4w103.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdkiAcRb5AABr-vQ74Ck118.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdiiAeFOnAAA3MVwccbA710.jpg,2019-09-26 00:15:14
2,小Q,122.23,8793.90,7,12.62,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdWGAdiZSAAH3FPdXrPs938.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdYaADFTSAABvdG6ZFQs379.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdaeASyysAAA0iqrZm7A810.jpg,2019-09-26 00:15:14
3,诛仙Ⅰ,119.14,38144.30,14,12.30,http://images.entgroup.cn/group2/M00/02/90/wKgASl1_LnGAc4MdAAMs9OucdcQ719.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqALTt9AABu4FrjIZ0468.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqAeLouAAA3sX12UeM982.jpg,2019-09-26 00:15:14
4,小小的愿望,79.00,23988.25,15,8.16,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_L7-AF5i1AALZpSRR4ng320.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAYabGAABUUC-Am5o028.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAIMcEAAAuEZQvV-A794.jpg,2019-09-26 00:15:14
5,友情以上,69.59,3643.76,7,7.19,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAaCJ5AABon6ZX_Do432.jpg,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAO1O-AAA2zINC7mw258.jpg,2019-09-26 00:15:14
6,罗小黑战记,62.84,29079.05,20,6.49,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,2019-09-26 00:15:14
7,名侦探柯南：绀青之拳,56.08,22010.91,14,5.79,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_LxqAHLJzAANQFihab18667.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuAY_kOAACRGpzxag8781.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuACCJBAABKOIGHX7s735.jpg,2019-09-26 00:15:14
8,哪吒之魔童降世,38.90,493844.48,63,4.02,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,2019-09-26 00:15:14
9,速度与激情：特别行动,34.52,142389.74,35,3.57,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,2019-09-26 00:15:14
10,古田军号,21.76,3076.95,57,2.25,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,2019-09-26 00:15:14
11,其它,72.94,0.00,0,1.00,,,,2019-09-26 00:15:14
